,Receiving,Rec,Yds,Avg,Long,TD,Tgt,FL,opp,weekn
0,Marquez Valdes-Scantling,2,48,24.0,34,0,2,0,det,1
1,Justin Watson,2,45,22.5,26,0,4,0,det,1
2,Isiah Pacheco,4,31,7.8,10,0,4,0,det,1
3,Noah Gray,3,31,10.3,24,0,5,0,det,1
4,Rashee Rice,3,29,9.7,25,1,5,0,det,1
5,Blake Bell,2,12,6.0,8,1,3,0,det,1
6,Jerick McKinnon,1,10,10.0,10,0,2,0,det,1
7,Clyde Edwards-Helaire,1,7,7.0,7,0,1,0,det,1
8,Richie James Jr.,1,6,6.0,6,0,2,0,det,1
9,Justyn Ross,1,6,6.0,6,0,1,0,det,1
10,Kadarius Toney,1,1,1.0,1,0,5,0,det,1
11,Skyy Moore,0,0,0.0,0,0,3,0,det,1
12,Josh Reynolds,4,80,20.0,33,0,7,0,kc,1
13,Amon-Ra St. Brown,6,71,11.8,21,1,8,0,kc,1
14,Sam LaPorta,5,39,7.8,14,0,5,0,kc,1
15,Kalif Raymond,1,20,20.0,20,0,1,0,kc,1
16,Jahmyr Gibbs,2,18,9.0,10,0,2,0,kc,1
17,Brock Wright,2,17,8.5,9,0,2,0,kc,1
18,Marvin Jones Jr.,2,8,4.0,5,0,6,1,kc,1
19,Allen Lazard,2,46,23.0,24,0,4,0,buf,1
20,Garrett Wilson,5,34,6.8,14,1,5,0,buf,1
21,Dalvin Cook,3,26,8.7,15,0,3,0,buf,1
22,Breece Hall,1,20,20.0,20,0,2,0,buf,1
23,Michael Carter,2,12,6.0,6,0,2,0,buf,1
24,Tyler Conklin,1,2,2.0,2,0,1,0,buf,1
25,Randall Cobb,0,0,0.0,0,0,1,0,buf,1
26,Stefon Diggs,10,102,10.2,18,1,13,0,nyj,1
27,Gabe Davis,2,32,16.0,26,0,4,0,nyj,1
28,Dalton Kincaid,4,26,6.5,9,0,4,0,nyj,1
29,Dawson Knox,3,25,8.3,15,0,4,0,nyj,1
30,James Cook,4,17,4.3,6,0,6,0,nyj,1
31,Damien Harris,2,16,8.0,13,0,2,0,nyj,1
32,Deonte Harty,3,9,3.0,5,0,4,0,nyj,1
33,Latavius Murray,1,9,9.0,9,0,2,0,nyj,1
34,Darren Waller,3,36,12.0,22,0,5,0,dal,1
35,Isaiah Hodgins,1,24,24.0,24,0,3,1,dal,1
36,Lawrence Cager,2,17,8.5,9,0,2,0,dal,1
37,Darius Slayton,3,15,5.0,8,0,5,0,dal,1
38,Saquon Barkley,3,12,4.0,7,0,4,0,dal,1
39,Gary Brightwell,2,6,3.0,9,0,2,0,dal,1
40,Parris Campbell,1,2,2.0,2,0,4,0,dal,1
41,Daniel Bellinger,1,1,1.0,1,0,1,0,dal,1
42,Matt Breida,1,-3,-3.0,-3,0,1,0,dal,1
43,Jalin Hyatt,0,0,0.0,0,0,1,0,dal,1
44,Sterling Shepard,0,0,0.0,0,0,1,0,dal,1
45,CeeDee Lamb,4,77,19.3,49,0,4,0,nyg,1
46,Brandin Cooks,2,22,11.0,16,0,4,0,nyg,1
47,Tony Pollard,2,12,6.0,7,0,3,0,nyg,1
48,Jake Ferguson,2,11,5.5,9,0,7,0,nyg,1
49,KaVontae Turpin,2,11,5.5,7,0,3,0,nyg,1
50,Michael Gallup,1,10,10.0,10,0,2,0,nyg,1
51,Peyton Hendershot,0,0,0.0,0,0,1,0,nyg,1
52,Jalen Tolbert,0,0,0.0,0,0,1,0,nyg,1
53,DK Metcalf,3,47,15.7,28,1,5,0,lar,1
54,Will Dissly,2,17,8.5,10,0,2,0,lar,1
55,DeeJay Dallas,1,14,14.0,14,0,1,0,lar,1
56,Jaxon Smith-Njigba,3,13,4.3,10,0,5,0,lar,1
57,Tyler Lockett,2,10,5.0,5,0,4,0,lar,1
58,Colby Parkinson,1,8,8.0,8,0,2,0,lar,1
59,Kenneth Walker III,4,3,0.8,6,0,5,0,lar,1
60,Puka Nacua,10,119,11.9,21,0,15,0,sea,1
61,Tutu Atwell,6,119,19.8,44,0,8,0,sea,1
62,Tyler Higbee,3,49,16.3,30,0,3,0,sea,1
63,Van Jefferson,4,24,6.0,10,0,5,0,sea,1
64,Brycen Hopkins,1,21,21.0,21,0,2,0,sea,1
65,Kyren Williams,0,2,0.0,2,0,2,0,sea,1
66,Ben Skowronek,0,0,0.0,0,0,2,0,sea,1
67,Allen Robinson II,5,64,12.8,31,0,8,0,sf,1
68,Diontae Johnson,3,48,16.0,26,0,6,0,sf,1
69,Calvin Austin III,6,37,6.2,13,0,6,0,sf,1
70,George Pickens,5,36,7.2,9,0,7,0,sf,1
71,Connor Heyward,2,19,9.5,11,0,4,0,sf,1
72,Jaylen Warren,5,12,2.4,9,0,6,0,sf,1
73,Anthony McFarland Jr.,2,11,5.5,6,0,2,0,sf,1
74,Pat Freiermuth,1,3,3.0,3,1,4,0,sf,1
75,Najee Harris,2,2,1.0,4,0,2,0,sf,1
76,Brandon Aiyuk,8,129,16.1,23,2,8,0,pit,1
77,Deebo Samuel,5,55,11.0,22,0,7,0,pit,1
78,George Kittle,3,19,6.3,11,0,6,0,pit,1
79,Christian McCaffrey,3,17,5.7,7,0,5,0,pit,1
80,Jauan Jennings,0,0,0.0,0,0,1,0,pit,1
81,Elijah Mitchell,0,0,0.0,0,0,1,0,pit,1
82,Chris Olave,8,112,14.0,45,0,10,0,ten,1
83,Rashid Shaheed,5,89,17.8,41,1,6,0,ten,1
84,Michael Thomas,5,61,12.2,25,0,8,0,ten,1
85,Juwan Johnson,3,36,12.0,27,0,5,0,ten,1
86,Jamaal Williams,2,7,3.5,5,0,2,0,ten,1
87,Taysom Hill,0,0,0.0,0,0,1,0,ten,1
88,Keith Kirkwood,0,0,0.0,0,0,1,0,ten,1
89,DeAndre Hopkins,7,65,9.3,16,0,13,0,no,1
90,Nick Westbrook-Ikhine,4,58,14.5,24,0,7,0,no,1
91,Derrick Henry,2,56,28.0,46,0,3,0,no,1
92,Treylon Burks,2,18,9.0,14,0,3,0,no,1
93,Tyjae Spears,1,1,1.0,1,0,4,0,no,1
94,Chris Moore,0,0,0.0,0,0,1,0,no,1
95,Chig Okonkwo,0,0,0.0,0,0,2,0,no,1
96,Kendrick Bourne,6,64,10.7,19,2,11,0,phi,1
97,Rhamondre Stevenson,6,64,10.7,32,0,6,0,phi,1
98,Hunter Henry,5,56,11.2,13,1,6,0,phi,1
99,Demario Douglas,4,40,10.0,23,0,7,0,phi,1
100,Mike Gesicki,3,36,12.0,17,0,3,0,phi,1
101,JuJu Smith-Schuster,4,33,8.3,15,0,7,0,phi,1
102,Ezekiel Elliott,5,14,2.8,6,0,7,1,phi,1
103,Ty Montgomery II,2,9,4.5,11,0,3,0,phi,1
104,Kayshon Boutte,0,0,0.0,0,0,4,0,phi,1
105,A.J. Brown,7,79,11.3,23,0,10,0,ne,1
106,DeVonta Smith,7,47,6.7,13,1,10,0,ne,1
107,Kenneth Gainwell,4,20,5.0,8,0,4,0,ne,1
108,Quez Watkins,2,17,8.5,9,0,2,0,ne,1
109,Boston Scott,1,7,7.0,7,0,1,0,ne,1
110,D'Andre Swift,1,0,0.0,0,0,2,0,ne,1
111,Dallas Goedert,0,0,0.0,0,0,1,0,ne,1
112,Darnell Mooney,4,53,13.3,23,1,7,0,gb,1
113,Cole Kmet,5,44,8.8,15,0,7,0,gb,1
114,Khalil Herbert,3,37,12.3,19,0,5,0,gb,1
115,Roschon Johnson,6,35,5.8,8,0,7,0,gb,1
116,DJ Moore,2,25,12.5,14,0,2,0,gb,1
117,Tyler Scott,2,14,7.0,9,0,2,0,gb,1
118,D'Onta Foreman,2,8,4.0,5,0,3,0,gb,1
119,Khari Blasingame,0,0,0.0,0,0,1,0,gb,1
120,Chase Claypool,0,0,0.0,0,0,2,0,gb,1
121,Aaron Jones,2,86,43.0,51,1,4,0,chi,1
122,Luke Musgrave,3,50,16.7,37,0,4,0,chi,1
123,Jayden Reed,2,48,24.0,30,0,5,0,chi,1
124,Romeo Doubs,4,26,6.5,13,2,5,0,chi,1
125,Samori Toure,2,18,9.0,16,0,3,0,chi,1
126,AJ Dillon,2,17,8.5,12,0,3,0,chi,1
127,Malik Heath,0,0,0.0,0,0,1,0,chi,1
128,Dontayvion Wicks,0,0,0.0,0,0,2,0,chi,1
129,Keenan Allen,6,76,12.7,36,0,9,0,mia,1
130,Austin Ekeler,4,47,11.8,35,0,5,0,mia,1
131,Mike Williams,4,45,11.3,24,0,5,0,mia,1
132,Donald Parham Jr.,3,22,7.3,16,1,3,0,mia,1
133,Gerald Everett,2,21,10.5,11,0,3,0,mia,1
134,Quentin Johnston,2,9,4.5,11,0,3,0,mia,1
135,Derius Davis,1,5,5.0,5,0,1,0,mia,1
136,Joshua Palmer,1,4,4.0,4,0,1,0,mia,1
137,Joshua Kelley,0,0,0.0,0,0,1,0,mia,1
138,Tyreek Hill,11,215,19.5,47,2,15,0,lac,1
139,Jaylen Waddle,4,78,19.5,35,0,5,0,lac,1
140,Durham Smythe,3,44,14.7,18,0,7,0,lac,1
141,Braxton Berrios,3,42,14.0,16,0,5,0,lac,1
142,River Cracraft,3,40,13.3,24,1,5,0,lac,1
143,Alec Ingold,2,34,17.0,19,0,2,0,lac,1
144,Raheem Mostert,2,13,6.5,8,0,2,0,lac,1
145,Salvon Ahmed,0,0,0.0,0,0,3,0,lac,1
146,Samaje Perine,4,37,9.3,20,0,4,0,lv,1
147,Adam Trautman,5,34,6.8,15,0,5,0,lv,1
148,Courtland Sutton,4,32,8.0,15,1,5,0,lv,1
149,Brandon Johnson,2,31,15.5,21,0,3,0,lv,1
150,Greg Dulcich,2,22,11.0,13,0,2,0,lv,1
151,Lil'Jordan Humphrey,2,11,5.5,6,1,2,0,lv,1
152,Marvin Mims Jr.,2,9,4.5,5,0,2,0,lv,1
153,Javonte Williams,4,5,1.3,7,0,6,0,lv,1
154,Michael Burton,1,3,3.0,3,0,1,0,lv,1
155,Jaleel McLaughlin,1,-7,-7.0,-7,0,1,0,lv,1
156,Phillip Dorsett II,0,0,0.0,0,0,1,0,lv,1
157,Jakobi Meyers,9,81,9.0,21,2,10,0,den,1
158,Davante Adams,6,66,11.0,18,0,9,0,den,1
159,Josh Jacobs,2,23,11.5,19,0,3,0,den,1
160,Austin Hooper,1,20,20.0,20,0,1,0,den,1
161,DeAndre Carter,1,5,5.0,5,0,1,0,den,1
162,Zamir White,1,5,5.0,5,0,1,0,den,1
163,Ameer Abdullah,0,0,0.0,0,0,1,0,den,1
164,Curtis Samuel,5,54,10.8,32,0,5,0,ari,1
165,Logan Thomas,4,43,10.8,19,0,8,0,ari,1
166,Jahan Dotson,5,40,8.0,14,0,7,0,ari,1
167,Terry McLaurin,2,31,15.5,19,0,4,0,ari,1
168,Cole Turner,1,17,17.0,17,0,2,0,ari,1
169,Antonio Gibson,1,10,10.0,10,0,1,0,ari,1
170,Brian Robinson Jr.,1,7,7.0,7,1,2,0,ari,1
171,Rondale Moore,3,33,11.0,31,0,3,0,was,1
172,Marquise Brown,3,28,9.3,11,0,5,0,was,1
173,Trey McBride,2,23,11.5,13,0,2,0,was,1
174,Zach Ertz,6,21,3.5,6,0,10,0,was,1
175,Michael Wilson,2,19,9.5,15,0,4,0,was,1
176,James Conner,5,8,1.6,11,0,5,0,was,1
177,Zach Pascal,0,0,0.0,0,0,1,0,was,1
178,Justin Jefferson,9,150,16.7,42,0,12,0,tb,1
179,Jordan Addison,4,61,15.3,39,1,6,0,tb,1
180,T.J. Hockenson,8,35,4.4,14,0,9,0,tb,1
181,Josh Oliver,3,32,10.7,18,0,3,0,tb,1
182,K.J. Osborn,3,31,10.3,19,0,6,0,tb,1
183,Ty Chandler,1,18,18.0,18,0,1,0,tb,1
184,Alexander Mattison,3,10,3.3,4,1,4,0,tb,1
185,C.J. Ham,2,7,3.5,6,0,3,0,tb,1
186,Mike Evans,6,66,11.0,28,1,10,0,min,1
187,Chris Godwin,5,51,10.2,16,0,6,0,min,1
188,Cade Otton,2,19,9.5,13,0,3,0,min,1
189,Deven Thompkins,2,10,5.0,8,0,3,0,min,1
190,Rachaad White,2,10,5.0,8,0,2,0,min,1
191,Sean Tucker,2,9,4.5,6,0,2,0,min,1
192,Trey Palmer,2,8,4.0,7,1,3,0,min,1
193,Ko Kieft,0,0,0.0,0,0,3,0,min,1
194,Zay Flowers,9,78,8.7,21,0,10,0,hou,1
195,Odell Beckham Jr.,2,37,18.5,29,0,3,0,hou,1
196,Rashod Bateman,3,35,11.7,18,0,3,0,hou,1
197,J.K. Dobbins,2,15,7.5,10,0,3,0,hou,1
198,Isaiah Likely,1,4,4.0,4,0,1,0,hou,1
199,Charlie Kolar,0,0,0.0,0,0,1,0,hou,1
200,Nico Collins,6,80,13.3,26,0,11,0,bal,1
201,Robert Woods,6,57,9.5,19,0,10,0,bal,1
202,Tank Dell,3,34,11.3,13,0,4,0,bal,1
203,Noah Brown,3,20,6.7,7,0,4,0,bal,1
204,Mike Boone,3,18,6.0,12,0,4,0,bal,1
205,Teagan Quitoriano,1,11,11.0,11,0,1,0,bal,1
206,Dameon Pierce,2,9,4.5,9,0,3,0,bal,1
207,Xavier Hutchinson,1,9,9.0,9,0,1,0,bal,1
208,Dalton Schultz,2,4,2.0,5,0,4,0,bal,1
209,C.J. Stroud,1,0,0.0,0,0,1,0,bal,1
210,Michael Pittman Jr.,8,97,12.1,39,1,11,0,jax,1
211,Kylen Granson,4,39,9.8,14,0,6,0,jax,1
212,Josh Downs,3,30,10.0,22,0,7,0,jax,1
213,Drew Ogletree,1,20,20.0,20,0,2,0,jax,1
214,Deon Jackson,5,14,2.8,8,0,6,1,jax,1
215,Jake Funk,1,12,12.0,12,0,1,0,jax,1
216,Evan Hull,1,6,6.0,6,0,1,0,jax,1
217,Alec Pierce,1,5,5.0,5,0,3,0,jax,1
218,Mo Alie-Cox,0,0,0.0,0,0,2,0,jax,1
219,Calvin Ridley,8,101,12.6,29,1,11,0,ind,1
220,Zay Jones,5,55,11.0,18,1,7,0,ind,1
221,Evan Engram,5,49,9.8,26,0,5,0,ind,1
222,Travis Etienne Jr.,5,27,5.4,10,0,5,0,ind,1
223,Christian Kirk,1,9,9.0,9,0,3,0,ind,1
224,Tank Bigsby,0,0,0.0,0,0,1,0,ind,1
225,Kyle Pitts,2,44,22.0,34,0,3,0,car,1
226,Mack Hollins,3,31,10.3,11,0,4,0,car,1
227,Bijan Robinson,6,27,4.5,17,1,6,0,car,1
228,Tyler Allgeier,3,19,6.3,12,0,3,0,car,1
229,Desmond Ridder,1,-6,-6.0,-6,0,1,0,car,1
230,Drake London,0,0,0.0,0,0,1,0,car,1
231,Hayden Hurst,5,41,8.2,14,1,7,0,atl,1
232,Miles Sanders,4,26,6.5,11,0,6,0,atl,1
233,Terrace Marshall Jr.,2,23,11.5,12,0,6,0,atl,1
234,Jonathan Mingo,2,17,8.5,9,0,5,0,atl,1
235,Laviska Shenault Jr.,2,16,8.0,14,0,2,0,atl,1
236,Adam Thielen,2,12,6.0,9,0,2,0,atl,1
237,Chuba Hubbard,2,9,4.5,7,0,2,0,atl,1
238,Giovanni Ricci,1,2,2.0,2,0,1,0,atl,1
239,Elijah Moore,3,43,14.3,33,0,7,0,cin,1
240,Amari Cooper,3,37,12.3,20,0,7,0,cin,1
241,David Njoku,2,24,12.0,15,0,3,0,cin,1
242,Nick Chubb,4,21,5.3,10,0,4,0,cin,1
243,Jordan Akins,1,12,12.0,12,0,1,0,cin,1
244,Donovan Peoples-Jones,1,12,12.0,12,0,2,0,cin,1
245,Harrison Bryant,2,5,2.5,3,1,2,0,cin,1
246,David Bell,0,0,0.0,0,0,1,0,cin,1
247,Marquise Goodwin,0,0,0.0,0,0,2,0,cin,1
248,Ja'Marr Chase,5,39,7.8,12,0,9,0,cle,1
249,Joe Mixon,3,17,5.7,10,0,5,0,cle,1
250,Irv Smith Jr.,3,17,5.7,8,0,5,0,cle,1
